latitud,longitud,tecnologia,mcc,operador,net,lac,cellid,cobertura,fecha,id
-17.38275,-66.150757,UMTS,736,Tigo,3,37800,7248012,1000,2019-01-19 08:34:04+00:00,151555
-17.377475,-66.169145,LTE,736,Tigo,3,47461,20494854,1000,2019-07-14 19:26:26+00:00,151554
-17.38433,-66.158405,UMTS,736,Tigo,3,37800,7227156,2931,2019-08-04 20:09:21+00:00,151553
-17.382773,-66.162884,UMTS,736,Tigo,3,37800,7227118,2234,2019-06-07 11:06:22+00:00,151552
-17.381412,-66.15671,UMTS,736,Tigo,3,37800,7237968,3270,2019-07-27 11:29:19+00:00,151551
-17.378433,-66.174476,UMTS,736,Tigo,3,37803,7883455,7416,2019-05-31 18:03:49+00:00,151550
-17.379509,-66.17119,UMTS,736,Tigo,3,37801,7247196,7778,2019-05-31 18:04:39+00:00,151549
-17.383458,-66.163376,UMTS,736,Tigo,3,37801,7227050,5664,2019-05-31 17:59:10+00:00,151548
-17.380423,-66.165621,LTE,736,Tigo,3,47461,20494853,2030,2019-05-31 17:57:09+00:00,151547
-17.380064,-66.157528,UMTS,736,Tigo,3,37800,7238103,1752,2019-05-31 17:54:54+00:00,151546
-17.392753,-66.146976,UMTS,736,Tigo,3,37800,7272994,1000,2019-05-31 17:54:12+00:00,151545
-17.393578,-66.147787,UMTS,736,Tigo,3,37800,7262994,1000,2019-05-31 17:53:45+00:00,151544
-17.393389,-66.145298,LTE,736,Tigo,3,47461,20488709,4183,2019-05-31 17:53:43+00:00,151543
-17.387715,-66.154465,UMTS,736,Tigo,3,37800,7247039,1001,2019-05-31 17:53:03+00:00,151542
-17.385805,-66.155375,UMTS,736,Tigo,3,37800,7227027,5493,2019-07-27 11:28:12+00:00,151541
-17.394116,-66.146576,LTE,736,Tigo,3,47461,20510982,8046,2019-05-30 21:36:39+00:00,151540
-17.384285,-66.15804,UMTS,736,Tigo,3,37800,7228027,2150,2019-06-21 11:04:34+00:00,151539
-17.385503,-66.157502,UMTS,736,Tigo,3,37800,7253027,1960,2019-05-30 18:34:22+00:00,151538
-17.394065,-66.174918,GSM,736,Tigo,3,27460,24031,3565,2019-05-30 18:13:53+00:00,151537
-17.379481,-66.167813,UMTS,736,Tigo,3,37801,7247047,3474,2019-06-05 20:45:09+00:00,151536
-17.383324,-66.168637,LTE,736,Tigo,3,47460,20530438,6052,2019-07-14 11:56:03+00:00,151535
-17.380991,-66.170518,UMTS,736,Tigo,3,37801,7237974,6998,2019-06-05 19:40:00+00:00,151534
-17.39216,-66.152182,UMTS,736,Tigo,3,37800,7253073,1000,2019-05-21 12:31:49+00:00,151533
-17.381383,-66.161637,UMTS,736,Tigo,3,37800,7262963,6082,2019-06-07 11:04:54+00:00,151532
-17.394738,-66.154728,UMTS,736,Tigo,3,37800,7236987,5784,2019-06-07 11:10:22+00:00,151531
-17.378168,-66.168281,UMTS,736,Tigo,3,37800,7227079,7644,2019-05-19 15:15:31+00:00,151530
-17.38443,-66.166963,UMTS,736,Tigo,3,37800,7227163,1862,2019-06-21 11:05:29+00:00,151529
-17.392457,-66.163499,UMTS,736,Tigo,3,37800,7247000,1053,2019-05-17 18:14:44+00:00,151528
-17.38114,-66.16785,UMTS,736,Tigo,3,37800,7246998,7311,2019-05-30 19:28:51+00:00,151527
